Ski_Season,Date,Rolling_7_Day_Avg
2014/15,2014-12-28,3.7142857142857144
2014/15,2014-12-29,1.8571428571428572
2014/15,2014-12-30,1.5714285714285714
2014/15,2014-12-31,1.7142857142857142
2014/15,2015-01-01,1.5714285714285714
2014/15,2015-01-02,1.4285714285714286
2014/15,2015-01-03,1.4285714285714286
2014/15,2015-01-04,1.5714285714285714
2014/15,2015-01-05,1.8571428571428572
2014/15,2015-01-06,2.142857142857143
2014/15,2015-01-07,2.0
2014/15,2015-01-08,1.8571428571428572
2014/15,2015-01-12,2.857142857142857
2014/15,2015-01-13,3.142857142857143
2014/15,2015-01-14,4.0
2014/15,2015-01-15,4.0
2014/15,2015-01-16,4.0
2014/15,2015-01-17,4.714285714285714
2014/15,2015-01-19,4.714285714285714
2014/15,2015-01-22,3.7142857142857144
2014/15,2015-01-24,3.5714285714285716
2014/15,2015-01-25,2.7142857142857144
2014/15,2015-01-26,2.4285714285714284
2014/15,2015-01-28,2.142857142857143
2014/15,2015-02-04,2.142857142857143
2014/15,2015-02-05,3.142857142857143
2014/15,2015-02-06,3.142857142857143
2014/15,2015-02-07,3.2857142857142856
2014/15,2015-02-10,3.142857142857143
2014/15,2015-02-12,3.142857142857143
2014/15,2015-02-21,3.2857142857142856
2014/15,2015-02-22,2.5714285714285716
2014/15,2015-02-23,1.5714285714285714
2014/15,2015-02-28,2.142857142857143
2014/15,2015-03-01,2.0
2014/15,2015-03-02,2.142857142857143
2014/15,2015-03-03,4.428571428571429
2014/15,2015-03-04,6.714285714285714
2014/15,2015-03-05,7.285714285714286
2014/15,2015-03-06,7.428571428571429
2014/15,2015-03-07,7.428571428571429
2014/15,2015-03-08,7.571428571428571
2014/15,2015-03-09,7.571428571428571
2014/15,2015-03-11,5.428571428571429
2014/15,2015-03-12,3.0
2014/15,2015-03-14,2.2857142857142856
2014/15,2015-03-15,2.142857142857143
2014/15,2015-03-16,1.5714285714285714
2014/15,2015-03-17,1.2857142857142858
2014/15,2015-03-20,1.1428571428571428
2014/15,2015-03-24,1.1428571428571428
2014/15,2015-03-25,1.2857142857142858
2014/15,2015-03-29,1.2857142857142858
2014/15,2015-04-02,1.2857142857142858
2014/15,2015-04-15,1.5714285714285714
2014/15,2015-04-26,1.5714285714285714
2014/15,2015-04-27,1.5714285714285714
2014/15,2015-05-01,1.4285714285714286
2014/15,2015-05-02,1.2857142857142858
2014/15,2015-05-03,1.2857142857142858
2014/15,2015-05-04,1.2857142857142858
2014/15,2015-05-10,1.0
2014/15,2015-05-17,1.2857142857142858
2015/16,2015-11-11,4.0
2015/16,2015-11-16,2.5
2015/16,2015-11-20,3.0
2015/16,2015-11-25,2.5
2015/16,2015-11-26,2.2
2015/16,2015-11-30,2.0
2015/16,2015-12-06,2.0
2015/16,2015-12-12,1.7142857142857142
2015/16,2015-12-14,1.7142857142857142
2015/16,2015-12-15,1.2857142857142858
2015/16,2015-12-16,1.2857142857142858
2015/16,2015-12-17,3.4285714285714284
2015/16,2015-12-19,3.5714285714285716
2015/16,2015-12-20,3.4285714285714284
2015/16,2015-12-21,3.857142857142857
2015/16,2015-12-22,5.0
2015/16,2015-12-23,10.857142857142858
2015/16,2015-12-24,12.0
2015/16,2015-12-25,10.428571428571429
2015/16,2015-12-26,11.571428571428571
2015/16,2015-12-28,11.571428571428571
2015/16,2015-12-29,11.0
2015/16,2015-12-31,10.142857142857142
2015/16,2016-01-01,6.428571428571429
2015/16,2016-01-02,5.285714285714286
2015/16,2016-01-07,5.0
2015/16,2016-01-08,4.142857142857143
2015/16,2016-01-09,4.285714285714286
2015/16,2016-01-10,4.857142857142857
2015/16,2016-01-11,4.857142857142857
2015/16,2016-01-12,2.7142857142857144
2015/16,2016-01-13,2.857142857142857
2015/16,2016-01-15,2.5714285714285716
2015/16,2016-01-16,2.857142857142857
2015/16,2016-01-17,3.142857142857143
2015/16,2016-01-18,3.4285714285714284
2015/16,2016-01-19,4.714285714285714
2015/16,2016-01-20,8.571428571428571
2015/16,2016-01-21,9.857142857142858
2015/16,2016-01-22,10.285714285714286
2015/16,2016-01-23,9.571428571428571
2015/16,2016-01-24,10.0
2015/16,2016-01-25,9.857142857142858
2015/16,2016-01-26,9.571428571428571
2015/16,2016-01-27,6.285714285714286
2015/16,2016-01-29,4.857142857142857
2015/16,2016-01-30,4.857142857142857
2015/16,2016-01-31,5.0
2015/16,2016-02-01,4.428571428571429
2015/16,2016-02-02,3.857142857142857
2015/16,2016-02-03,2.5714285714285716
2015/16,2016-02-05,2.2857142857142856
2015/16,2016-02-06,2.2857142857142856
2015/16,2016-02-07,2.142857142857143
2015/16,2016-02-08,2.142857142857143
2015/16,2016-02-10,1.8571428571428572
2015/16,2016-02-13,2.2857142857142856
2015/16,2016-02-15,3.2857142857142856
2015/16,2016-02-16,3.0
2015/16,2016-02-17,3.0
2015/16,2016-02-18,3.142857142857143
2015/16,2016-02-19,3.2857142857142856
2015/16,2016-02-20,3.2857142857142856
2015/16,2016-02-21,2.857142857142857
2015/16,2016-02-22,1.8571428571428572
